,file,files_cc
231,Handler.scala,0
232,InvalidRequestException.scala,0
233,Request.scala,9
234,SocketServer.scala,259
235,SocketServerStats.scala,0
236,Transmission.scala,0
237,BrokerPartitionInfo.scala,0
238,ConfigBrokerPartitionInfo.scala,0
239,DefaultPartitioner.scala,0
240,KafkaLog4jAppender.scala,0
241,Partitioner.scala,0
242,ProducerConfig.scala,0
243,ProducerPool.scala,0
244,SyncProducerConfig.scala,0
245,ZKBrokerPartitionInfo.scala,0
246,AsyncProducer.scala,0
247,AsyncProducerConfig.scala,0
248,AsyncProducerStats.scala,0
249,AsyncProducerStatsMBean.scala,0
250,CallbackHandler.scala,0
251,DefaultEventHandler.scala,0
252,EventHandler.scala,0
253,MissingConfigException.scala,0
254,ProducerSendThread.scala,0
255,QueueClosedException.scala,0
256,QueueFullException.scala,0
257,Decoder.scala,4
258,Encoder.scala,0
259,KafkaConfig.scala,203
260,KafkaRequestHandlers.scala,30
261,KafkaServer.scala,105
262,KafkaServerStartable.scala,0
263,KafkaZooKeeper.scala,9
264,MessageSetSend.scala,0
265,MultiMessageSetSend.scala,0
266,ConsumerPerformance.scala,23
267,ConsumerShell.scala,0
268,GetOffsetShell.scala,62
269,ProducerPerformance.scala,0
270,ProducerShell.scala,0
271,ReplayLogProducer.scala,0
272,SimpleConsumerPerformance.scala,0
273,SimpleConsumerShell.scala,0
274,Annotations.scala,0
275,DelayedItem.scala,2
276,DumpLogSegments.scala,84
277,IteratorTemplate.scala,0
278,KafkaScheduler.scala,16
279,MockTime.scala,1
280,Pool.scala,8
281,Range.scala,0
282,Throttler.scala,8
283,Time.scala,0
284,UpdateOffsetsInZK.scala,0
285,Utils.scala,92
286,ZkUtils.scala,0
287,00000000000000000000.kafka,0
288,kafka.log4j.properties,0
289,DeleteZKPath.scala,0
290,TestKafkaAppender.scala,0
291,TestLinearWriteSpeed.scala,18
292,TestLogPerformance.scala,0
293,TestTruncate.scala,1
294,TestZKConsumerOffsets.scala,0
295,TopicCountTest.scala,0
296,ZookeeperConsumerConnectorTest.scala,0
297,AutoOffsetResetTest.scala,0
298,BackwardsCompatibilityTest.scala,0
299,FetcherTest.scala,0
300,KafkaServerTestHarness.scala,50
301,LazyInitProducerTest.scala,0
302,LogCorruptionTest.scala,0
303,PrimitiveApiTest.scala,0
304,ProducerConsumerTestHarness.scala,0
305,BaseMessageSetTestCases.scala,0
306,ByteBufferMessageSetTest.scala,0
307,ProducerTest.scala,0
308,SyncProducerTest.scala,0
309,LogManagerTest.scala,48
310,LogOffsetTest.scala,25
311,LogTest.scala,195
312,SegmentListTest.scala,0
313,KafkaLog4jAppenderTest.scala,0
314,CompressionUtilsTest.scala,0
315,FileMessageSetTest.scala,0
