,file,frequency_in_commits
231,Handler.scala,4
232,InvalidRequestException.scala,3
233,Request.scala,5
234,SocketServer.scala,163
235,SocketServerStats.scala,8
236,Transmission.scala,11
237,BrokerPartitionInfo.scala,30
238,ConfigBrokerPartitionInfo.scala,7
239,DefaultPartitioner.scala,12
240,KafkaLog4jAppender.scala,27
241,Partitioner.scala,6
242,ProducerConfig.scala,27
243,ProducerPool.scala,23
244,SyncProducerConfig.scala,19
245,ZKBrokerPartitionInfo.scala,7
246,AsyncProducer.scala,9
247,AsyncProducerConfig.scala,10
248,AsyncProducerStats.scala,8
249,AsyncProducerStatsMBean.scala,5
250,CallbackHandler.scala,3
251,DefaultEventHandler.scala,73
252,EventHandler.scala,7
253,MissingConfigException.scala,4
254,ProducerSendThread.scala,32
255,QueueClosedException.scala,2
256,QueueFullException.scala,4
257,Decoder.scala,9
258,Encoder.scala,7
259,KafkaConfig.scala,321
260,KafkaRequestHandlers.scala,13
261,KafkaServer.scala,315
262,KafkaServerStartable.scala,34
263,KafkaZooKeeper.scala,25
264,MessageSetSend.scala,7
265,MultiMessageSetSend.scala,5
266,ConsumerPerformance.scala,57
267,ConsumerShell.scala,10
268,GetOffsetShell.scala,23
269,ProducerPerformance.scala,53
270,ProducerShell.scala,8
271,ReplayLogProducer.scala,30
272,SimpleConsumerPerformance.scala,22
273,SimpleConsumerShell.scala,44
274,Annotations.scala,5
275,DelayedItem.scala,9
276,DumpLogSegments.scala,89
277,IteratorTemplate.scala,12
278,KafkaScheduler.scala,31
279,MockTime.scala,7
280,Pool.scala,22
281,Range.scala,5
282,Throttler.scala,11
283,Time.scala,5
284,UpdateOffsetsInZK.scala,25
285,Utils.scala,78
286,ZkUtils.scala,155
287,00000000000000000000.kafka,2
288,kafka.log4j.properties,4
289,DeleteZKPath.scala,8
290,TestKafkaAppender.scala,10
291,TestLinearWriteSpeed.scala,30
292,TestLogPerformance.scala,15
293,TestTruncate.scala,3
294,TestZKConsumerOffsets.scala,10
295,TopicCountTest.scala,6
296,ZookeeperConsumerConnectorTest.scala,102
297,AutoOffsetResetTest.scala,29
298,BackwardsCompatibilityTest.scala,12
299,FetcherTest.scala,45
300,KafkaServerTestHarness.scala,60
301,LazyInitProducerTest.scala,22
302,LogCorruptionTest.scala,11
303,PrimitiveApiTest.scala,68
304,ProducerConsumerTestHarness.scala,20
305,BaseMessageSetTestCases.scala,34
306,ByteBufferMessageSetTest.scala,36
307,ProducerTest.scala,82
308,SyncProducerTest.scala,71
309,LogManagerTest.scala,102
310,LogOffsetTest.scala,95
311,LogTest.scala,203
312,SegmentListTest.scala,6
313,KafkaLog4jAppenderTest.scala,23
314,CompressionUtilsTest.scala,5
315,FileMessageSetTest.scala,21
316,MessageTest.scala,20
317,AsyncProducerTest.scala,65
318,ProducerMethodsTest.scala,3
319,ServerShutdownTest.scala,80
320,TestUtils.scala,352
321,UtilsTest.scala,21
322,EmbeddedZookeeper.scala,23
323,ZKEphemeralTest.scala,26
324,ZKLoadBalanceTest.scala,6
325,ZooKeeperTestHarness.scala,49
326,java-producer-consumer-demo.sh,5
327,java-simple-consumer-demo.sh,6
328,Consumer.java,51
329,ExampleUtils.java,5
330,KafkaConsumerProducerDemo.java,11
331,KafkaProperties.java,7
332,Producer.java,37
333,SimpleConsumerDemo.java,16
334,sbt-launch.jar,5
335,.classpath,2
336,.project,2
337,jopt-simple-3.1.jar,2
338,exporting.js,2
339,highcharts.js,2
340,kafka.js,2
341,report.html,2
342,run-simulator.sh,2
343,KafkaPerfSimulator.java,2
344,KafkaSimulatorMXBean.java,3
345,PerfTimer.java,2
346,SimplePerfConsumer.java,3
347,BrokerJmxClient.java,2
348,remote-kafka-env.sh,2
349,run-fetchsize-test.sh,2
350,run-msgsize-test.sh,2
351,run-numconsumer-sustained.sh,2
352,run-numconsumer-test.sh,2
353,run-numproducer-single-topic.sh,2
354,run-numproducer-test.sh,2
355,run-numtopic-test.sh,2
356,build.properties,12
357,KafkaProject.scala,29
358,Plugins.scala,3
359,sbt,7
360,expected.out,9
361,run-test.sh,44
362,server_source1.properties,12
363,server_source2.properties,12
364,server_source3.properties,12
365,server_target1.properties,11
366,server_target2.properties,11
367,zookeeper_source.properties,6
368,zookeeper_target.properties,9
369,run-compression-test.sh,9
370,zkclient-20110412.jar,2
371,TopicEventHandler.scala,2
372,ZookeeperTopicEventWatcher.scala,19
373,AsyncProducerInterruptedException.scala,1
374,blacklisttest.consumer.properties,8
375,mirror_producer.properties,21
376,whitelisttest.consumer.properties,10
377,SocketServerTest.scala,150
378,IllegalQueueStateException.scala,3
379,ConsumerOffsetChecker.scala,39
380,Microsoft.StyleCop.Targets,4
381,AsyncProducerConfig.cs,4
382,BrokerPartitionInfo.cs,4
383,BrokerPartitionInfoCollection.cs,4
384,ConsumerConfig.cs,4
385,IAsyncProducerConfigShared.cs,5
386,ISyncProducerConfigShared.cs,5
387,KafkaClientConfiguration.cs,4
388,KafkaServer.cs,4
389,ProducerConfig.cs,4
390,SyncProducerConfig.cs,4
391,ZKConfig.cs,4
392,ZooKeeperServers.cs,4
393,Broker.cs,4
394,Cluster.cs,4
395,Partition.cs,4
396,ConsumerIterator.cs,5
397,ConsumerIteratorState.cs,4
398,FetchedDataChunk.cs,4
399,Fetcher.cs,5
400,FetcherRunnable.cs,5
401,IConsumer.cs,5
402,IConsumerConnector.cs,4
403,KafkaMessageStream.cs,4
404,PartitionTopicInfo.cs,4
405,TopicCount.cs,4
406,ZookeeperConsumerConnector.cs,5
407,ConsumerTimeoutException.cs,5
408,MessageSizeTooLargeException.cs,4
409,ZKRebalancerException.cs,4
410,ZooKeeperException.cs,4
411,ZooKeeperTimeoutException.cs,4
412,KafkaClientBase.cs,4
413,BoundedBuffer.cs,4
