,file,frequency_in_commits
1727,MemberMetadataTest.scala,11
1728,zookeeper-security-migration.sh,2
1729,ZkSecurityMigrator.scala,25
1730,CircularIterator.java,3
1731,TaskConfig.java,5
1732,CopycatProtocol.java,2
1733,DistributedHerderConfig.java,3
1734,NotLeaderException.java,6
1735,WorkerCoordinator.java,43
1736,WorkerGroupMember.java,46
1737,WorkerRebalanceListener.java,5
1738,WorkerCoordinatorTest.java,41
1739,SslConfigs.java,23
1740,SslChannelBuilder.java,25
1741,SslTransportLayer.java,34
1742,SslFactory.java,37
1743,SslSelectorTest.java,31
1744,SslTransportLayerTest.java,63
1745,SslFactoryTest.java,23
1746,TestSslUtils.java,23
1747,DefaultPartitionGrouper.java,20
1748,PartitionGrouper.java,17
1749,KafkaStreamingPartitionAssignor.java,7
1750,QuickUnion.java,7
1751,DefaultPartitionGrouperTest.java,11
1752,QuickUnionTest.java,4
1753,TaskId.java,18
1754,RebalanceInProgressException.java,2
1755,test_kafka_version.py,6
1756,test_verifiable_producer.py,14
1757,config.py,9
1758,config_property.py,17
1759,directory.py,2
1760,version.py,59
1761,jmx.py,15
1762,produce_consume_validate.py,21
1763,upgrade_test.py,41
1764,util.py,19
1765,WakeupException.java,3
1766,zk-digest-jaas.conf,3
1767,ZkAuthorizationTest.scala,32
1768,AuthorizationException.java,4
1769,AuthorizerIntegrationTest.scala,195
1770,JaasTestUtils.scala,24
1771,BadFormatString.java,2
1772,KerberosShortNamer.java,5
1773,AlreadyExistsException.java,4
1774,NotFoundException.java,4
1775,DistributedConfig.java,29
1776,RestServer.java,32
1777,ConnectorInfo.java,7
1778,CreateConnectorRequest.java,3
1779,ErrorMessage.java,4
1780,ServerInfo.java,5
1781,TaskInfo.java,3
1782,CopycatExceptionMapper.java,1
1783,CopycatRestException.java,1
1784,ConnectorsResource.java,32
1785,RootResource.java,6
1786,StandaloneConfig.java,6
1787,ConnectorsResourceTest.java,30
1788,copycat_rest_test.py,1
1789,security.html,105
1790,StateStoreSupplier.java,9
1791,InMemoryKeyValueStoreSupplier.java,19
1792,InMemoryLRUCacheStoreSupplier.java,13
1793,RocksDBKeyValueStoreSupplier.java,18
1794,MockStateStoreSupplier.java,13
1795,GroupLoadInProgressException.java,5
1796,GroupMetadataManager.scala,138
1797,OffsetConfig.scala,3
1798,WorkerSinkTaskContext.java,13
1799,DescribeGroupsRequest.java,14
1800,DescribeGroupsResponse.java,23
1801,GroupCoordinatorRequest.java,9
1802,GroupCoordinatorResponse.java,8
1803,ListGroupsRequest.java,17
1804,ListGroupsResponse.java,21
1805,AdminClient.scala,62
1806,GroupCoordinatorRequest.scala,9
1807,GroupCoordinatorResponse.scala,9
1808,AdminClientTest.scala,17
1809,minikdc.py,12
1810,gssapi_jaas.conf,2
1811,minikdc.properties,2
1812,GroupAuthorizationException.java,3
1813,TopicAuthorizationException.java,3
1814,WorkerSourceTaskContext.java,4
1815,CommitFailedException.java,6
1816,InvalidOffsetException.java,4
1817,WorkerSinkTaskThreadedTest.java,36
1818,connect-distributed.sh,4
1819,connect-standalone.sh,4
1820,connect-console-sink.properties,2
1821,connect-console-source.properties,2
1822,connect-distributed.properties,21
1823,connect-file-sink.properties,9
1824,connect-file-source.properties,9
1825,connect-log4j.properties,6
1826,connect-standalone.properties,11
1827,ConnectRecord.java,12
1828,ConnectSchema.java,18
1829,ConnectException.java,3
1830,ConnectSchemaTest.java,7
1831,ConnectDistributed.java,22
1832,ConnectStandalone.java,20
1833,Connect.java,10
1834,ConnectProtocol.java,5
1835,ConnectExceptionMapper.java,3
1836,ConnectRestException.java,2
1837,connect.py,31
1838,connect_distributed_test.py,33
1839,connect_rest_test.py,20
1840,connect_test.py,17
1841,mirror_maker_consumer.properties,5
1842,mirror_maker_producer.properties,4
1843,connect.html,41
1844,kafka-verifiable-consumer.sh,2
1845,verifiable_consumer.py,26
1846,consumer_test.py,20
1847,VerifiableConsumer.java,21
1848,VerifiableSinkConnector.java,6
1849,VerifiableSinkTask.java,5
1850,VerifiableSourceConnector.java,5
1851,VerifiableSourceTask.java,8
1852,connect_log4j.properties,4
1853,AssignmentInfo.java,28
1854,ClientState.java,29
1855,SubscriptionInfo.java,27
1856,TaskAssignmentException.java,5
1857,TaskAssignor.java,12
1858,KafkaStreamingPartitionAssignorTest.java,5
1859,AssginmentInfoTest.java,3
1860,SubscriptionInfoTest.java,22
1861,TaskAssignorTest.java,4
1862,Password.java,2
1863,StreamEndException.scala,3
1864,AbstractTask.java,80
1865,StandbyContextImpl.java,45
1866,StandbyTask.java,89
1867,StandbyTaskTest.java,107
1868,compatibility_test.py,4
1869,EndToEndAuthorizationTest.scala,54
1870,SaslSetup.scala,25
1871,SaslSslEndToEndAuthorizationTest.scala,2
1872,SslEndToEndAuthorizationTest.scala,16
1873,security_rolling_upgrade_test.py,23
1874,StreamingConfigTest.java,2
1875,zookeeper_security_upgrade_test.py,19
1876,consumer_rolling_upgrade.py,2
1877,KTable.java,69
1878,KTableDerivedValueGetterSupplier.java,2
1879,KTableFilter.java,22
1880,KTableImpl.java,118
1881,KTableMapValues.java,27
1882,KTableProcessorSupplier.java,8
1883,KTableSource.java,30
1884,KTableSourceValueGetterSupplier.java,15
1885,KTableStoreSupplier.java,5
1886,KTableValueGetter.java,8
1887,KTableValueGetterSupplier.java,3
1888,KeyValueStoreChangeLogger.java,1
1889,RocksDBStore.java,121
1890,KTableFilterTest.java,45
1891,KTableImplTest.java,51
1892,KTableMapValuesImplTest.java,2
1893,KTableSourceTest.java,42
1894,AbstractStream.java,38
1895,KStreamKTableLeftJoin.java,4
1896,KTableKTableJoin.java,14
1897,KTableKTableLeftJoin.java,27
1898,KTableMerge.java,2
1899,KTableKTableOuterJoin.java,27
1900,KTableKTableRightJoin.java,27
1901,KStreamKTableLeftJoinTest.java,32
1902,KTableKTableJoinTest.java,21
1903,KTableKTableLeftJoinTest.java,45
1904,KTableKTableOuterJoinTest.java,38
1905,reassign_partitions_test.py,14
1906,LeaderAndIsr.scala,15
1907,Change.java,7
1908,KTableKTableAbstractJoin.java,8
1909,KTableKTableJoinMerger.java,16
1910,import-control-core.xml,17
1911,verifiable_consumer_test.py,5
1912,MeteredWindowStore.java,57
1913,RocksDBWindowStore.java,55
1914,RocksDBWindowStoreSupplier.java,22
1915,StoreChangeLogger.java,20
1916,WindowStore.java,29
1917,WindowStoreIterator.java,10
1918,WindowStoreUtil.java,1
1919,RocksDBWindowStoreTest.java,76
1920,JoinWindowSpec.java,1
1921,KStreamJoinWindow.java,12
1922,KStreamKStreamJoin.java,33
1923,KStreamKStreamJoinTest.java,54
1924,KStreamKStreamLeftJoinTest.java,47
1925,ClusterAuthorizationException.java,2
1926,InvalidFetchSizeException.java,2
1927,ReplicaNotAvailableException.java,3
1928,StreamPartitioner.java,8
1929,KTableJob.java,2
1930,Aggregator.java,12
1931,AggregatorSupplier.java,1
1932,HoppingWindows.java,4
1933,JoinWindows.java,39
1934,KeyValueToDoubleMapper.java,2
1935,KeyValueToIntMapper.java,2
1936,KeyValueToLongMapper.java,2
1937,SlidingWindows.java,6
1938,UnlimitedWindows.java,24
1939,Windowed.java,16
1940,Windows.java,30
1941,DefaultWindowedDeserializer.java,1
1942,DefaultWindowedSerializer.java,1
1943,HoppingWindow.java,1
1944,SlidingWindow.java,1
1945,TopKSupplier.java,2
1946,UnlimitedWindow.java,8
1947,kafka_acls.py,7
1948,dependencies.gradle,203
1949,ChangedDeserializer.java,10
1950,ChangedSerializer.java,13
1951,CountSupplier.java,1
1952,KTableAggregate.java,24
1953,KTableRepartitionMap.java,22
1954,LongSumSupplier.java,2
1955,WindowedDeserializer.java,5
1956,WindowedSerializer.java,7
1957,KTableAggregateTest.java,45
1958,KTableMapValuesTest.java,38
1959,NoOpKeyValueMapper.java,2
1960,WindowedStreamPartitioner.java,9
1961,WindowedStreamPartitionerTest.java,16
1962,InconsistentGroupProtocolException.java,2
1963,InvalidCommitOffsetSizeException.java,2
1964,InvalidGroupIdException.java,2
1965,InvalidSessionTimeoutException.java,2
1966,ErrorsTest.java,7
1967,TumblingWindows.java,4
1968,KStreamAggWindow.java,2
1969,KStreamAggregate.java,37
1970,TumblingWindow.java,2
1971,KStreamAggregateTest.java,4
1972,WindowsTest.java,11
1973,Reducer.java,11
1974,SumAsLong.java,2
1975,KStreamReduce.java,31
1976,KTableReduce.java,21
1977,KafkaStreams.java,201
1978,StreamsConfig.java,177
1979,StreamsMetrics.java,14
1980,WindowedStreamsPartitioner.java,1
1981,StreamsPartitioner.java,1
1982,StreamPartitionAssignor.java,65
1983,StreamsConfigTest.java,82
1984,WindowedStreamsPartitionerTest.java,1
1985,StreamPartitionAssignorTest.java,44
1986,ProtoUtilsTest.java,9
1987,JsonPOJODeserializer.java,6
1988,JsonPOJOSerializer.java,7
1989,PageViewTypedJob.java,7
1990,PageViewUnTypedJob.java,5
1991,PipeJob.java,5
1992,WordCountJob.java,8
1993,WordCountProcessorJob.java,4
1994,consumer_group_command_test.py,10
1995,ConsumerConfigTest.java,10
1996,ProcessorStateException.java,5
1997,StreamsException.java,6
1998,TaskIdFormatException.java,5
1999,TopologyBuilderException.java,7
2000,SerializeCompatibilityOffsetAndMetadataTest.java,2
2001,SerializeCompatibilityTopicPartitionTest.java,2
2002,offsetAndMetadataSerializedfile,3
2003,topicPartitionSerializedfile,3
2004,WindowStoreUtils.java,16
2005,InMemoryKeyValueLoggedStore.java,18
2006,MemoryLRUCache.java,30
2007,MemoryNavigableLRUCache.java,20
2008,RawStoreChangeLogger.java,3
2009,StateTestUtils.java,3
2010,OffsetCheckpointTest.java,10
2011,StoreChangeLoggerTest.java,30
2012,Initializer.java,10
2013,WorkerTaskTest.java,16
2014,RecordCollectorTest.java,50
2015,ConsumerInterceptor.java,7
2016,ConsumerInterceptors.java,2
2017,ProducerInterceptor.java,6
2018,ProducerInterceptors.java,7
2019,ConsumerInterceptorsTest.java,6
2020,ProducerInterceptorsTest.java,9
2021,MockConsumerInterceptor.java,8
2022,MockProducerInterceptor.java,7
2023,EdgeCaseRequestTest.scala,25
2024,BrokerEndPoint.java,2
2025,InvalidTimestampException.java,2
2026,TimestampType.java,6
2027,streams-smoke-test.sh,2
2028,SmokeTestClient.java,60
2029,SmokeTestDriver.java,49
2030,SmokeTestUtil.java,32
2031,StreamsSmokeTest.java,34
2032,TestTimestampExtractor.java,3
2033,streams.py,60
2034,streams_bounce_test.py,8
2035,streams_smoke_test.py,19
2036,InternalTopicManager.java,53
2037,ByteBufferDeserializer.java,3
2038,ByteBufferSerializer.java,3
2039,KeyValueTest.java,6
2040,AbstractHerder.java,52
2041,AbstractStatus.java,5
2042,ConnectorStatus.java,4
2043,TaskStatus.java,5
2044,ConnectorStateInfo.java,5
2045,KafkaStatusBackingStore.java,26
2046,MemoryStatusBackingStore.java,4
2047,StatusBackingStore.java,5
2048,Table.java,4
2049,AbstractHerderTest.java,37
2050,KafkaStatusBackingStoreTest.java,10
2051,MemoryStatusBackingStoreTest.java,2
2052,TableTest.java,2
2053,LongRef.scala,1
2054,compression_test.py,9
2055,JsonTimestampExtractor.java,6
2056,KStreamAggProcessorSupplier.java,4
2057,KStreamWindowAggregate.java,43
2058,KStreamWindowReduce.java,20
2059,KStreamWindowAggregateTest.java,53
2060,MessageFormatter.scala,4
2061,MessageReader.scala,2
2062,PageViewUntypedJob.java,2
2063,ApiKeysTest.java,18
2064,ClusterTest.java,7
2065,protocol.html,16
2066,MetadataCacheTest.scala,39
2067,get_offset_shell_test.py,10
2068,BrokerMetadata.scala,1
2069,RackAwareMode.scala,1
2070,RackAwareAutoTopicCreationTest.scala,9
2071,AdminRackAwareTest.scala,8
2072,RackAwareTest.scala,3
2073,ReassignPartitionsCommandTest.scala,25
2074,PageViewTypedDemo.java,32
2075,PageViewUntypedDemo.java,28
2076,PipeDemo.java,12
2077,WordCountDemo.java,25
2078,WordCountProcessorDemo.java,33
2079,ConsumerRecordsTest.java,4
2080,TopicConstants.java,2
2081,compatibility_test_new_broker.py,1
2082,Config.java,7
2083,ConfigValue.java,5
2084,ConfigInfo.java,4
2085,ConfigInfos.java,3
2086,ConfigKeyInfo.java,4
2087,ConfigValueInfo.java,4
2088,ConnectorPluginsResource.java,13
2089,ConnectorPluginsResourceTest.java,31
2090,message_format_change.py,1
2091,DoubleDeserializer.java,3
2092,DoubleSerializer.java,3
2093,Serde.java,4
2094,StateSerdes.java,12
2095,compatibility_test_new_broker_test.py,23
2096,consumer_rolling_upgrade_test.py,7
2097,message_format_change_test.py,12
2098,ConsumerRecordTimestampExtractor.java,5
2099,RestServerTest.java,25
2100,vagrant-up.sh,6
2101,ConsumerRecordTest.java,8
2102,streams.html,31
2103,ConnectorPluginInfo.java,5
2104,SimpleBenchmark.java,47
2105,minikdc-krb5.conf,2
2106,minikdc.ldiff,1
2107,MiniKdc.scala,14
2108,simple_consumer_shell.py,5
2109,simple_consumer_shell_test.py,6
2110,ZkFourLetterWords.scala,3
2111,MockProcessorNode.java,14
2112,ForeachAction.java,10
2113,KStreamForeach.java,3
2114,KStreamForeachTest.java,16
2115,KTableForeachTest.java,16
2116,KeyValuePrinter.java,6
2117,KeyValuePrinterProcessorTest.java,7
2118,test_performance_services.py,7
2119,MockTimer.scala,5
2120,KStreamSelectKeyTest.java,20
2121,KTableMapKeysTest.java,22
2122,NotAssignedException.java,2
2123,RequestTargetException.java,2
2124,StaleConfigException.java,1
2125,TargetState.java,2
2126,WorkerConnector.java,20
2127,RebalanceNeededException.java,2
2128,ConfigBackingStore.java,6
2129,KafkaConfigBackingStore.java,30
2130,MemoryConfigBackingStore.java,9
2131,WorkerConnectorTest.java,9
2132,KafkaConfigBackingStoreTest.java,27
2133,KGroupedTable.java,34
2134,KGroupedTableImpl.java,39
2135,MockAggregator.java,5
2136,MockInitializer.java,3
2137,MockKeyValueMapper.java,5
2138,MockReducer.java,4
2139,KGroupedTableImplTest.java,36
2140,ReassignPartitionsClusterTest.scala,43
2141,BytesDeserializer.java,3
2142,BytesSerializer.java,3
2143,Bytes.java,9
2144,MockValueJoiner.java,4
2145,AuthenticationException.java,5
2146,IllegalSaslStateException.java,3
2147,UnsupportedSaslMechanismException.java,3
2148,SaslHandshakeRequest.java,15
2149,SaslHandshakeResponse.java,13
2150,AuthCallbackHandler.java,4
2151,AbstractLogin.java,6
2152,DefaultLogin.java,2
2153,SaslClientCallbackHandler.java,10
2154,KerberosLogin.java,20
2155,PlainLoginModule.java,5
2156,PlainSaslServer.java,12
2157,PlainSaslServerProvider.java,5
2158,SaslMultiMechanismConsumerTest.scala,14
2159,SaslPlainPlaintextConsumerTest.scala,18
2160,BaseRequestTest.scala,35
2161,MetadataRequestTest.scala,40
2162,UnsupportedVersionException.java,3
2163,ApiVersionsRequest.java,17
2164,ApiVersionsResponse.java,32
2165,ApiVersionsTest.scala,9
2166,InternalTopicIntegrationTest.java,52
2167,EmbeddedSingleNodeKafkaCluster.java,4
2168,IntegrationTestUtils.java,70
2169,KafkaEmbedded.java,20
2170,ApiVersionsRequestTest.scala,21
2171,ReflectionsUtil.java,4
2172,CertStores.java,7
2173,NetworkTestUtils.java,18
2174,NioEchoServer.java,38
2175,SaslAuthenticatorTest.java,64
2176,TestDigestLoginModule.java,5
2177,TestJaasConfig.java,10
2178,SaslPlainSslEndToEndAuthorizationTest.scala,17
2179,replica_verification_tool.py,8
2180,replica_verification_test.py,4
2181,TimeWindows.java,29
2182,TimeWindow.java,7
2183,TimeWindowsTest.java,23
2184,UnlimitedWindowsTest.java,12
2185,jaas.conf,4
2186,SaslApiVersionsRequestTest.scala,23
2187,SessionExpireListenerTest.scala,4
2188,FanoutIntegrationTest.java,17
2189,JoinIntegrationTest.java,22
2190,MapFunctionIntegrationTest.java,5
2191,PassThroughIntegrationTest.java,5
2192,WordCountIntegrationTest.java,8
2193,AbstractFetcherThreadTest.scala,45
2194,RetriableCommitFailedException.java,7
2195,AbstractCoordinatorTest.java,66
2196,KafkaClientSupplier.java,13
2197,DefaultKafkaClientSupplier.java,9
2198,MockClientSupplier.java,16
2199,kafka_path.py,5
2200,setup.cfg,4
2201,check_project_paths.py,2
2202,check_version.py,2
2203,KafkaLZ4Test.java,9
2204,ControlledShutdownLeaderSelectorTest.scala,5
2205,SinkConnectorConfig.java,16
2206,SourceConnectorConfig.java,12
2207,ProduceRequestTest.scala,33
2208,KafkaStreamsTest.java,122
2209,GroupCoordinatorIntegrationTest.scala,18
2210,connect-test.properties,2
2211,MirrorMakerTest.scala,8
2212,ZkUtilsTest.scala,9
2213,WindowStoreUtilsTest.java,5
2214,RegexSourceIntegrationTest.java,58
2215,GroupMetadataManagerTest.scala,87
2216,KGroupedStream.java,48
2217,KGroupedStreamImpl.java,37
2218,KGroupedStreamIntegrationTest.java,4
2219,KStreamRepartitionJoinTest.java,29
2220,MockConnector.java,4
2221,MockSinkConnector.java,3
2222,MockSinkTask.java,4
2223,MockSourceConnector.java,3
2224,MockSourceTask.java,5
2225,JoinWindowsTest.java,22
2226,TestCondition.java,5
2227,StreamsTestUtils.java,28
2228,SchemaSourceConnector.java,3
2229,SchemaSourceTask.java,7
2230,KStreamAggregationIntegrationTest.java,63
2231,KStreamKTableJoinIntegrationTest.java,21
2232,InvalidConfigurationException.java,2
2233,InvalidPartitionsException.java,2
2234,InvalidReplicaAssignmentException.java,2
2235,InvalidReplicationFactorException.java,2
2236,InvalidRequestException.java,2
2237,NotControllerException.java,2
2238,TopicExistsException.java,2
2239,CreateTopicsRequest.java,21
2240,CreateTopicsResponse.java,20
2241,AdminManager.scala,64
2242,DelayedCreateTopics.scala,6
2243,CreateTopicsRequestTest.scala,21
2244,streams_simple_benchmark_test.py,17
2245,streams_performance.py,12
2246,QueryableStoreType.java,7
2247,QueryableStoreTypes.java,10
2248,ReadOnlyKeyValueStore.java,11
2249,ReadOnlyWindowStore.java,20
2250,CompositeReadOnlyKeyValueStore.java,12
2251,CompositeReadOnlyWindowStore.java,19
2252,InvalidStateStoreException.java,6
2253,QueryableStoreProvider.java,15
2254,StateStoreProvider.java,3
2255,StreamThreadStateStoreProvider.java,21
2256,WrappingStoreProvider.java,14
2257,QueryableStateIntegrationTest.java,82
2258,NoOpWindowStore.java,12
2259,CompositeReadOnlyKeyValueStoreTest.java,26
2260,CompositeReadOnlyWindowStoreTest.java,23
2261,QueryableStoreProviderTest.java,13
2262,ReadOnlyWindowStoreStub.java,19
2263,StateStoreProviderStub.java,9
2264,StateStoreTestUtils.java,10
2265,StreamThreadStateStoreProviderTest.java,79
2266,WrappingStoreProviderTest.java,15
2267,StateDirectory.java,46
2268,StateDirectoryTest.java,39
2269,PartitionState.java,4
2270,RocksDBConfigSetter.java,7
2271,kafka-streams-application-reset.sh,2
2272,ResetIntegrationTest.java,48
2273,StreamsResetter.java,52
2274,release_notes.py,6
2275,KGroupedStreamImplTest.java,51
2276,DefaultStreamPartitioner.java,5
2277,StreamsMetadataState.java,28
2278,HostInfo.java,10
2279,StreamsMetadata.java,11
2280,StreamsMetadataStateTest.java,27
2281,AssignmentInfoTest.java,18
2282,DeleteTopicsRequest.java,18
2283,DeleteTopicsResponse.java,16
2284,DelayedDeleteTopics.scala,4
2285,DeleteTopicsRequestTest.scala,18
2286,AbstractIndex.scala,38
2287,IndexEntry.scala,3
2288,TimeIndex.scala,22
2289,TimeIndexTest.scala,9
2290,LogCleanerManagerTest.scala,50
2291,ConnectorFactory.java,3
2292,security_test.py,13
2293,EmbeddedKafkaCluster.java,48
2294,SimpleRecordTest.java,7
2295,InternalTopicConfig.java,13
2296,AbstractStoreSupplier.java,7
2297,InternalTopicConfigTest.java,10
2298,StoresTest.java,17
2299,LogCleanerLagIntegrationTest.scala,18
2300,SimpleRate.java,3
2301,QuotaFactory.scala,13
2302,ReplicationQuotaManager.scala,14
2303,SensorAccess.scala,3
2304,ClientQuotasTest.scala,2
2305,ReplicationQuotaUtils.scala,8
2306,TestAdminUtils.scala,4
2307,ReplicaManagerQuotasTest.scala,56
2308,ReplicationQuotaManagerTest.scala,10
2309,ReplicationQuotasTest.scala,27
2310,CacheFlushListener.java,6
2311,ForwardingCacheFlushListener.java,7
2312,InternalProcessorContext.java,27
2313,ProcessorRecordContext.java,16
2314,RecordContext.java,8
2315,CachedStateStore.java,6
2316,CachingKeyValueStore.java,52
2317,CachingWindowStore.java,63
2318,DelegatingPeekingKeyValueIterator.java,8
2319,DelegatingPeekingWindowIterator.java,2
2320,LRUCacheEntry.java,11
2321,MergedSortedCacheKeyValueStoreIterator.java,7
2322,MergedSortedCachedWindowStoreIterator.java,3
2323,NamedCache.java,32
2324,PeekingKeyValueIterator.java,3
2325,PeekingWindowIterator.java,1
2326,ThreadCache.java,34
2327,ThreadCacheMetrics.java,2
2328,KStreamAggregationDedupIntegrationTest.java,35
2329,RecordContextStub.java,5
2330,CachingKeyValueStoreTest.java,37
2331,CachingWindowStoreTest.java,45
2332,DelegatingPeekingKeyValueIteratorTest.java,11
2333,DelegatingPeekingWindowIteratorTest.java,2
2334,MergedSortedCacheKeyValueStoreIteratorTest.java,11
2335,MergedSortedCacheWindowStoreIteratorTest.java,4
2336,NamedCacheTest.java,22
2337,ThreadCacheTest.java,25
2338,ClusterResource.java,3
2339,ClusterResourceListener.java,4
2340,ClusterResourceListeners.java,2
2341,MockClusterResourceListener.java,2
2342,MockDeserializer.java,4
2343,EndToEndClusterIdTest.scala,17
2344,KafkaMetricReporterClusterIdTest.scala,8
2345,ServerGenerateClusterIdTest.scala,13
2346,BaseQuotaTest.scala,32
2347,ClientIdQuotaTest.scala,14
2348,UserClientIdQuotaTest.scala,15
2349,UserQuotaTest.scala,17
2350,PartitionStates.java,13
2351,PartitionStatesTest.java,4
2352,FetchRequestTest.scala,54
2353,OffsetAndTimestamp.java,6
2354,ReassignPartitionsCommandArgsTest.scala,12
2355,DynamicConfig.scala,17
2356,DynamicConfigTest.scala,13
2357,AbstractTaskTest.java,36
2358,ProcessorNodeTest.java,42
2359,UnsupportedForMessageFormatException.java,3
2360,throttling_test.py,13
2361,NoOpRecordCollector.java,10
2362,kafka-apis.png,1
2363,log_consumer.png,1
2364,AbstractKTableKTableJoinValueGetterSupplier.java,2
2365,kafka-consumer-groups.bat,2
2366,KTableKTableJoinIntegrationTest.java,19
2367,KStreamKTableJoin.java,8
2368,KStreamKTableJoinTest.java,34
2369,LogCleanerTest.scala,72
2370,DescribeConsumerGroupTest.scala,29
2371,ListConsumerGroupTest.scala,16
2372,SinkNodeTest.java,22
2373,MockPartitioner.java,2
2374,BadRequestException.java,2
2375,SinkUtils.java,2
2376,FileRecords.java,35
2377,LogInputStream.java,4
2378,RecordsIterator.java,14
2379,AbstractResponse.java,98
2380,RecordsSend.java,6
2381,ShutdownDeadlockTest.java,12
2382,streams_shutdown_deadlock_test.py,3
2383,TupleForwarder.java,11
2384,.travis.yml,7
2385,cluster_file.json,2
2386,Dockerfile,64
2387,run_tests.sh,11
2388,authorized_keys,3
2389,config,3
2390,id_rsa,3
2391,id_rsa.pub,3
2392,SingleGroupPartitionGrouperStub.java,5
2393,SourceTaskOffsetCommitterTest.java,8
2394,GroupCoordinatorTest.scala,77
2395,RecordCollectorImpl.java,51
2396,connect-distributed.bat,3
2397,connect-standalone.bat,3
2398,ExtractRecordMetadataTimestamp.java,6
2399,FailOnInvalidTimestamp.java,7
2400,LogAndSkipOnInvalidTimestamp.java,6
2401,UsePreviousTimeOnInvalidTimestamp.java,8
2402,FailOnInvalidTimestampTest.java,3
2403,LogAndSkipOnInvalidTimestampTest.java,3
2404,TimestampExtractorTest.java,4
2405,UsePreviousTimeOnInvalidTimestampTest.java,6
2406,WallclockTimestampExtractorTest.java,3
2407,AbstractRecords.java,21
2408,ByteBufferLogInputStream.java,8
2409,FileLogInputStream.java,14
2410,MemoryRecordsBuilder.java,46
2411,ByteBufferLogInputStreamTest.java,8
2412,FileRecordsTest.java,28
2413,MemoryRecordsBuilderTest.java,34
2414,TimestampTypeTest.java,3
2415,LogValidator.scala,45
2416,LogValidatorTest.scala,42
2417,LockException.java,4
2418,templateData.js,25
2419,NetworkClientApiVersionsCheckTest.java,2
2420,DelayedReceive.java,2
2421,ControllerZkListener.scala,2
2422,ReplicaVerificationToolTest.scala,9
2423,JaasConfig.java,5
2424,JaasUtilsTest.java,2
2425,MirrorMakerIntegrationTest.scala,14
2426,TransportLayers.java,3
2427,test_producer_consumer_compat.py,1
2428,PartitionInfoTest.java,4
2429,ReassignPartitionsIntegrationTest.scala,24
2430,Merger.java,5
2431,SessionWindows.java,26
2432,KStreamSessionWindowAggregate.java,32
2433,SessionKeySerde.java,10
2434,ReadOnlySessionStore.java,13
2435,SessionStore.java,14
2436,CachingSessionStore.java,44
2437,ChangeLoggingSegmentedBytesStore.java,8
2438,CompositeReadOnlySessionStore.java,8
2439,HasNextCondition.java,2
2440,MeteredSegmentedBytesStore.java,9
2441,RocksDBSegmentedBytesStore.java,19
2442,RocksDBSessionStore.java,26
2443,RocksDBSessionStoreSupplier.java,10
2444,Segment.java,17
2445,SegmentIterator.java,11
2446,SegmentedBytesStore.java,12
2447,Segments.java,19
2448,SessionKeySchema.java,17
2449,WindowStoreKeySchema.java,1
2450,WindowStoreSupplier.java,4
2451,KStreamSessionWindowAggregateProcessorTest.java,51
2452,SessionKeySerdeTest.java,7
2453,CachingSessionStoreTest.java,41
2454,ChangeLoggingSegmentedBytesStoreTest.java,8
2455,CompositeReadOnlySessionStoreTest.java,16
2456,MeteredSegmentedBytesStoreTest.java,8
2457,RocksDBSegmentedBytesStoreTest.java,30
2458,RocksDBSessionStoreTest.java,38
2459,SegmentIteratorTest.java,23
2460,SegmentsTest.java,16
2461,KeyValueIteratorStub.java,3
2462,ReadOnlySessionStoreStub.java,12
2463,SegmentedBytesStoreStub.java,6
2464,cluster_file_generator.sh,3
2465,ReplicationQuotasTestRig.scala,23
2466,CredentialCache.java,5
2467,ScramCredential.java,3
2468,ScramCredentialCallback.java,5
2469,ScramCredentialUtils.java,8
2470,ScramFormatter.java,6
2471,ScramLoginModule.java,7
2472,ScramMechanism.java,7
2473,ScramMessages.java,9
2474,ScramSaslClient.java,10
2475,ScramSaslClientProvider.java,5
2476,ScramSaslServer.java,15
2477,ScramSaslServerProvider.java,5
2478,ScramServerCallbackHandler.java,11
2479,ScramCredentialUtilsTest.java,6
2480,ScramFormatterTest.java,8
2481,ScramMessagesTest.java,12
2482,CredentialProvider.scala,7
2483,SaslScramSslEndToEndAuthorizationTest.scala,19
2484,StreamsKafkaClient.java,30
2485,MockInternalTopicManager.java,16
2486,NodeApiVersions.java,17
2487,ObsoleteBrokerException.java,2
2488,NodeApiVersionsTest.java,23
2489,SensorTest.java,12
2490,StreamsMetricsImpl.java,55
2491,MockStreamsMetrics.java,6
2492,StreamsMetricsImplTest.java,36
2493,SaslEndToEndAuthorizationTest.scala,23
2494,SaslGssapiSslEndToEndAuthorizationTest.scala,7
2495,KStreamsFineGrainedAutoResetIntegrationTest.java,12
2496,SessionWindow.java,6
2497,SessionWindowTest.java,4
2498,GlobalKTable.java,12
2499,GlobalKTableImpl.java,5
2500,KStreamGlobalKTableJoin.java,6
2501,KStreamKTableJoinProcessor.java,20
2502,KTableKTableJoinValueGetter.java,3
2503,KTableKTableLeftJoinValueGetter.java,3
2504,AbstractProcessorContext.java,36
2505,GlobalProcessorContextImpl.java,32
2506,GlobalStateMaintainer.java,3
2507,GlobalStateManager.java,4
2508,GlobalStateManagerImpl.java,48
2509,GlobalStateUpdateTask.java,29
2510,GlobalStreamThread.java,39
2511,RecordDeserializer.java,16
2512,SourceNodeRecordDeserializer.java,7
2513,StateManager.java,12
2514,GlobalStateStoreProvider.java,4
2515,GlobalKTableIntegrationTest.java,40
